year,country,artist_name,song_name,language,style,gender,main_singers,key,BPM,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,speechiness,final_place
2010,Azerbaijan,Safura,Drip Drop,English,Ballad,Female,1,Fs Major,148,66,47,23,4 dB,1,0,8,3,5
2010,Ukraine,Alyosha,Sweet People,English,Ballad,Female,1,E Minor,120,41,63,12,6 dB,72,0,14,4,10
2010,Netherlands,Sieneke,Ik ben verliefd,Dutch,Pop,Female,1,Db Minor,162,91,62,77,3 dB,29,0,6,5,
2010,Romania,Paula Seling and Ovi,Playing with Fire,English,Pop,Mix,2,G Major,122,82,66,96,3 dB,2,0,6,4,3
2010,Slovenia,Ansambel zlindra and Kalamari,Narodnozabavni rock,Slovene,Rock,Mix,2,-,-,-,-,-,,-,-,-,-,
2010,Ireland,Niamh Kavanagh,It's for You,English,Ballad,Female,1,C Major,130,46,40,16,5 dB,33,0,9,3,23
2010,Bulgaria,Miro,Angel si ti,"Bulgarian, English",Pop,Male,1,-,-,-,-,-,,-,-,-,-,
2010,Cyprus,Jon Lilygreen and The Islanders,Life Looks Better in Spring,English,Pop,Male,1,-,-,-,-,-,,-,-,-,-,21
2010,Croatia,Feminnem,Lako je sve,Croatian,Ballad,Female,3,Eb Minor,76,64,50,49,5 dB,38,0,15,4,
2010,Georgia,Sofia Nizharadze,Shine,English,Ballad,Female,1,D Major,126,49,46,17,7 dB,17,0,31,3,9
2010,Turkey,maNga,We Could Be the Same,English,Rock,Male,1,A Minor,112,68,56,41,7 dB,1,0,14,3,2
2010,Spain,Daniel Diges,Algo pequenito,Spanish,Pop,Male,1,D Minor,88,62,37,71,5 dB,73,0,27,8,15
2010,Norway,Didrik Solli-Tangen,My Heart Is Yours,English,Ballad,Male,1,A Major,133,24,28,22,5 dB,83,0,13,3,20
2010,United Kingdom,Josh Dubovie,That Sounds Good to Me,English,Pop,Male,1,G Major,124,69,55,38,11 dB,14,87,18,4,25
2010,France,Jessy Matador,Allez Ola Ole,French,Dance,Male,1,B Major,129,93,64,72,5 dB,0,0,6,6,12
2010,Germany,Lena,Satellite,English,Pop,Female,1,E Minor,95,94,75,87,10 dB,0,79,10,5,1
2009,Montenegro,Andrea Demirovic,Just Get Out of My Life,English,Pop,Female,1,G Minor,138,91,56,56,3 dB,2,0,66,5,
2009,Czech Republic,Gipsy.cz,Aven Romale,"English, Romani",Traditional,Male,1,Bb Minor,154,84,80,69,7 dB,20,0,23,46,
